id,name,url,price,status,categoryId,categoryName,groupId,vendorName,shop,created
186," Смартфон OPPO A9 2020 128GB, Vanilla Mint ",https://alser.kz//p/smartfon-oppo-a9-2020-vanilla-mint,99990,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.589641
187, Смарт часы Amazfit GTS A1914 Lava Grey ,https://alser.kz//p/smart-casy-amazfit-gts-a1914-lava-grey373493,79900,1,,Smart часы,,,Alser,2020-04-20 06:49:24.218662
188, Смарт часы Amazfit GTS A1914 Rose Pink ,https://alser.kz//p/smart-casy-amazfit-gts-a1914-rose-pink373554,69990,1,,Smart часы,,,Alser,2020-04-20 06:49:24.255418
189, Galaxy Watch Active-2 Aqua Black (40mm) SM-R830NZKASKZ ,https://alser.kz//p/galaxy-watch-active-2-aqua-black-40mm-sm-r830nzkaskz-071515,118090,1,,Smart часы,,,Alser,2020-04-20 06:49:24.296948
190, Galaxy Watch Active-2 Aluminium SM-R830NZDASKZ gold (40mm) ,https://alser.kz//p/galaxy-watch-active-2-aluminium-40mm-sm-r830nzdaskz-gold071881,117790,1,,Smart часы,,,Alser,2020-04-20 06:49:24.369066
191, Умные часы Xiaomi Amazfit GTS Red (Vermillion Orange) ,https://alser.kz//p/umnye-casy-xiaomi-amazfit-gts-red-vermillion-orange,69990,1,,Smart часы,,,Alser,2020-04-20 06:49:24.404975
192, Смарт-часы Acme SW102 ,https://alser.kz//p/smart-casy-acme-sw102,22500,1,,Smart часы,,,Alser,2020-04-20 06:49:24.437408
193, Смарт-часы Acme SW202 G ,https://alser.kz//p/smart-casy-acme-sw202-g-acme,25900,1,,Smart часы,,,Alser,2020-04-20 06:49:24.468596
194, Galaxy Watch Active-2 AluminiumSM-R820NZSASKZ silver (44mm) ,https://alser.kz//p/galaxy-watch-active-2-aluminium-44mm-sm-r820nzsaskz-silver,137600,1,,Smart часы,,,Alser,2020-04-20 06:49:24.499840
195, Умные часы Xiaomi Amazfit GTS Black ,https://alser.kz//p/umnye-casy-xiaomi-amazfit-gts-black,58890,1,,Smart часы,,,Alser,2020-04-20 06:49:24.531367
196," Смарт-часы MyKronoz ZeRound 2 HR Elite, Black ",https://alser.kz//p/smart-casy-mykronoz-zeround-2-hr-elite-black,62900,1,,Smart часы,,,Alser,2020-04-20 06:49:24.564793
197, Смарт-часы Acme SW201 HR ,https://alser.kz//p/smart-casy-acme-sw201-hr,36900,1,,Smart часы,,,Alser,2020-04-20 06:49:24.597635
198, Смарт-часы Acme SW101 ,https://alser.kz//p/smart-casy-acme-sw101,30900,1,,Smart часы,,,Alser,2020-04-20 06:49:24.633186
199, Galaxy Watch Active-2 Stainless (44mm) SM-R820NSKASKZ black ,https://alser.kz//p/galaxy-watch-active-2-stainless-44mm-sm-r820nskaskz-black,154590,1,,Smart часы,,,Alser,2020-04-20 06:49:24.667102
200, Galaxy Watch Active-2 Stainless (44mm) SM-R820NSDASKZ gold ,https://alser.kz//p/galaxy-watch-active-2-stainless-44mm-sm-r820nsdaskz-gold,154490,1,,Smart часы,,,Alser,2020-04-20 06:49:24.698973
201, Galaxy Watch Active-2 Aluminium (44mm) SM-R820NZKASKZ black ,https://alser.kz//p/galaxy-watch-active-2-aluminium-44mm-sm-r820nzkaskz-black,136990,1,,Smart часы,,,Alser,2020-04-20 06:49:24.731099
202, Galaxy Watch Active-2 Aluminium (44mm) SM-R820NZDASKZ gold ,https://alser.kz//p/galaxy-watch-active-2-aluminium-44mm-sm-r820nzdaskz-gold,136590,1,,Smart часы,,,Alser,2020-04-20 06:49:24.762837
203," Смартфон  Galaxy A51 128GB White, (SM-A515FZWWSKZ) ",https://alser.kz//p/galaxy-a51-128gb-white-sm-a515fzwwskz,120990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.322541
204, Смартфон Samsung Galaxy A01 Blue ,https://alser.kz//p/galaxy-a01-blue,42590,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.353909
205, Смартфон Samsung Galaxy A01 Black ,https://alser.kz//p/galaxy-a01-black,42590,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.384468
206, Смартфон Samsung Galaxy A01 Red ,https://alser.kz//p/galaxy-a01-red,42590,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.415206
207, Смартфон Samsung Galaxy A71 Black ,https://alser.kz//p/galaxy-a71-black,153490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.445368
208, Смартфон Samsung Galaxy A71 Silver ,https://alser.kz//p/galaxy-a71-silver,153490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.474981
209, Смартфон Galaxy S10 lite Blue ,https://alser.kz//p/galaxy-s10-lite-blue,199490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.505914
210, Смартфон Galaxy S10 lite Black ,https://alser.kz//p/galaxy-s10-lite-black,199490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.535997
211," Смартфон Galaxy A51 128GB, Black (SM-A515FZKWSKZ) ",https://alser.kz//p/galaxy-a51-128gb-black-sm-a515fzkwskz,120990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.566173
212," Смартфон  Galaxy A51 128GB, Blue (SM-A515FZBWSKZ) ",https://alser.kz//p/galaxy-a51-128gb-blue-sm-a515fzbwskz,120990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.598157
213," Смартфон  Galaxy A51 64GB, White (SM-A515FZWUSKZ) ",https://alser.kz//p/galaxy-a51-64gb-white-sm-a515fzwuskz,113690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.627160
214," Смартфон Galaxy A51 64GB, Black (SM-A515FZKUSKZ) ",https://alser.kz//p/galaxy-a51-64gb-black-sm-a515fzkuskz,113690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.661615
215, Смартфон Galaxy S10 lite White ,https://alser.kz//p/galaxy-s10-lite,199490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.696579
216," Смартфон Galaxy A51 64GB, Blue (SM-A515FZBUSKZ) ",https://alser.kz//p/galaxy-a51-64gb-sm-a515fzbuskz,113690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.726836
217," Смартфон Vivo V17,128 GB Nebula Blue ",https://alser.kz//p/smartfon-vivo-v17-nebula-blue,124990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.756974
218," Смартфон Vivo V17,128 GB, Diamond Black ",https://alser.kz//p/smartfon-vivo-v17-diamond-black,124990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:40.787217
219," Смартфон Vivo Y19 (1915), 128 GB, Magnetic Black ",https://alser.kz//p/smartfon-vivo-y19-1915-magnetic-black,89990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:42.839828
220," Смартфон Vivo Y19 (1915) 128 GB, Spring White ",https://alser.kz//p/smartfon-vivo-y191915-spring-white,89990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:42.870557
221," Смартфон BQ 6040L MAGIC,32 GB, Black ",https://alser.kz//p/smartfon-bq-6040l-magic-black,37990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:42.900381
222," Смартфон BQ 5518G JEANS,16 GB, Dark Green ",https://alser.kz//p/smartfon-bq-5518g-jeans-dark-green240814,22990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:42.966230
223," Смартфон BQ 5518G JEANS,16 GB, Brown(Hot Chocolate)(240821) ",https://alser.kz//p/smartfon-bq-5518g-jeans-brownhot-chocolate240821,22990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.012312
224," Смартфон BQ 6040L MAGIC DARK Blue, 32 GB (240104) ",https://alser.kz//p/smartfon-bq-6040l-magic-dark-blue-240104,37990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.042230
225," Смартфон BQ-5206L Balance Серый, 16 GB ",https://alser.kz//p/smartfon-bq-5206l-balance-seryj,47990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.072884
226," Смартфон BQ-5515L Fast,16 GB, Черный ",https://alser.kz//p/smartfon-bq-5515l-fast-cernyj,40490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.102842
227, Смартфон BQ-5211 Strike Розовое-золото ,https://alser.kz//p/smartfon-bq-5211-strike-rozovoe-zoloto,30190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.133699
228," Смартфон Vivo NEX3,128 GB, Glowing Night ",https://alser.kz//p/smartfon-vivo-nex3-glowing-night,309990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.165503
229," Смартфон Vivo V17 Pro,128 GB, Glowing Night ",https://alser.kz//p/smartfon-vivo-v17-pro-glowing-night,129990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.196087
230," Смартфон Vivo V17 Pro,128 GB, Crystal Sky ",https://alser.kz//p/smartfon-vivo-v17-pro-crystal-sky,129990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.226786
231, Смартфон iPhone 11 Pro Max 64GB Space Grey ,https://alser.kz//p/smartfon-iphone-11-pro-max-64gb-space-grey,542850,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.256705
232, Смартфон iPhone 11 Pro Max 64GB Silver ,https://alser.kz//p/smartfon-iphone-11-pro-max-64gb-silver,545980,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.286858
233, Смартфон iPhone 11 Pro Max 64GB Midnight Green ,https://alser.kz//p/smartfoniphone-11-pro-max-64gb-midnight-green,547990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.316755
234, Смартфон iPhone 11 Pro Max 64GB Gold ,https://alser.kz//p/smartfon-iphone-11-pro-max-64gb-gold,548490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:43.346358
235, Смартфон iPhone 11 Pro Max 512GB Silver ,https://alser.kz//p/smartfon-iphone-11-pro-max-512gb-silver,737990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.547883
236, Смартфон iPhone 11 Pro Max 512GB Gold ,https://alser.kz//p/smartfon-iphone-11-pro-max-512gb-gold,699990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.647691
237, Смартфон iPhone 11 Pro Max 256GB Silver ,https://alser.kz//p/smartfon-iphone-11-pro-max-256gb-silver,634190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.685818
238, Смартфон iPhone 11 Pro Max 256GB Space Grey ,https://alser.kz//p/smartfon-iphone-11-pro-max-256gb-space-grey,630290,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.724341
239, Смартфон iPhone 11 Pro Max 256GB Midnight Green ,https://alser.kz//p/smartfon-iphone-11-pro-max-256gb-midnight-green,657190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.780021
240, Смартфон iPhone 11 Pro Max 256GB Gold ,https://alser.kz//p/smartfon-iphone-11-pro-max-256gb-gold,633790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.822317
241, Смартфон iPhone 11 Pro 64GB Space Grey ,https://alser.kz//p/smartfon-iphone-11-pro-64gb-space-grey,517000,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.859121
242, Смартфон iPhone 11 Pro 64GB Silver ,https://alser.kz//p/smartfon-iphone-11-pro-64gb-silver,515590,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.896671
243, Смартфон iPhone 11 Pro 64GB Midnight Green ,https://alser.kz//p/smartfon-iphone-11-pro-64gb-midnight-green,519690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:45.985259
244, Смартфон iPhone 11 Pro 64GB Gold ,https://alser.kz//p/smartfon-iphone-11-pro-64gb-gold,512690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.031056
245, Смартфон iPhone 11 Pro 256GB Space Grey ,https://alser.kz//p/smartfon-iphone-11-pro-256gb-space-grey,583960,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.065061
246, Смартфон iPhone 11 Pro 256GB Midnight Green ,https://alser.kz//p/smartfon-iphone-11-pro-256gb-midnight-green,588000,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.098292
247, Смартфон iPhone 11 Pro 256GB Gold ,https://alser.kz//p/smartfon-iphone-11-pro-256gb-gold,579090,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.130330
248, Смартфон iPhone 11 64GB Yellow ,https://alser.kz//p/smartfon-iphone-11-64gb-yellow,358790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.161258
249, Смартфон iPhone 11 64GB White ,https://alser.kz//p/smartfon-iphone-11-64gb-white,358490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.195191
250, Смартфон iPhone 11 64GB Green ,https://alser.kz//p/smartfon-iphone-11-64gb-green,364990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:46.228430
251, Смартфон iPhone 11 64GB Black ,https://alser.kz//p/smartfon-iphone-11-64gb-black,372390,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.472747
252, Смартфон iPhone 11 64GB (PRODUCT)RED ,https://alser.kz//p/smartfon-iphone-11-64gb-productred,357490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.530894
253, Смартфон iPhone 11 128GB (PRODUCT)RED ,https://alser.kz//p/smartfon-iphone-11-128gb-productred,378490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.575120
254, Смартфон iPhone 11 128GB Yellow ,https://alser.kz//p/smartfon-iphone-11-128gb-yellow,388490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.613682
255, Смартфон iPhone 11 128GB White ,https://alser.kz//p/smartfon-iphone-11-128gb-white,388390,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.648952
256, Смартфон iPhone 11 128GB Green ,https://alser.kz//p/smartfon-iphone-11-128gb-green,388790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.686801
257, Смартфон iPhone 11 128GB Black ,https://alser.kz//p/smartfon-iphone-11-128gb-black,388290,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.722321
258," Смартфон OPPO A5 2020, 64 GB, Dazzling White ",https://alser.kz//p/smartfon-oppo-a5-2020-dazzling-white,81090,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.758648
259," Смартфон OPPO A5 2020, 64 GB, Mirror Black ",https://alser.kz//p/smartfon-a5-2020-mirror-black,80790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.796321
260," Смартфон OPPO A9 2020, 128 GB, Space Purple ",https://alser.kz//p/smartfon-oppo-a9-2020-space-purple,99990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.834278
261," Смартфон OPPO A9 2020,128 Gb, Marine Green ",https://alser.kz//p/smartfon-oppo-a9-2020-marine-green,99990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.894970
262," Смартфон Samsung Galaxy A20s,32 GB,  blue ",https://alser.kz//p/smartfon-samsung-galaxy-a20s-sm-a207fzbdskz-blue,65690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.957198
263," Смартфон Samsung Galaxy A20s,32 GB,  black ",https://alser.kz//p/smartfon-samsung-galaxy-a20s-sm-a207fzkdskz-black,65190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:51.989059
264," Смартфон Samsung Galaxy A20s,32 GB,  red ",https://alser.kz//p/smartfon-samsung-galaxy-a20s-sm-a207fzrdskz-red,64790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:52.019835
265," Смартфон OPPO Reno2 Z,128 GB, Sky White ",https://alser.kz//p/smartfon-oppo-reno2-z-sky-white,148690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:52.049679
266," Смартфон OPPO Reno2 Z,128 GB, Luminous Black ",https://alser.kz//p/smartfon-oppo-reno2-z-luminous-black,149580,1,,Все смартфоны,,,Alser,2020-04-20 06:59:52.079790
267," Смартфон OPPO Reno 2,256 GB, Ocean Blue ",https://alser.kz//p/smartfon-oppo-reno-2-ocean-blue,239890,1,,Все смартфоны,,,Alser,2020-04-20 06:59:53.949433
268," Смартфон OPPO Reno 2,256 GB, Luminous Black ",https://alser.kz//p/smartfon-oppo-reno-2-luminous-black,239790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:53.983807
269," Смартфон Xiaomi Redmi Note 8, 64GB, Space Black ",https://alser.kz//p/smartfon-xiaomi-redmi-note-8-64gb-space-black,74790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.066740
270," Смартфон Xiaomi Redmi Note 8, 64GB, Neptune Blue ",https://alser.kz//p/smartfon-xiaomi-redmi-note-8-64gb-neptune-blue,74790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.118737
271," Смартфон Huawei Y5 Lite 16GB, Amber Brown ",https://alser.kz//p/smartfon-huawei-y5-lite-dra-lx5-amber-brown,34690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.152241
272," Смартфон Huawei Y5 Lite 16GB, Modern Black ",https://alser.kz//p/smartfon-huawei-y5-lite-dra-lx5-modern-black,34690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.185338
273," Смартфон Vivo Y12, Aqua Blue(1904) 64 GB ",https://alser.kz//p/smartfon-vivo-y12-aqua-blue1904814858,74990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.216518
274," Смартфон Vivo Y12, Burgundy Red(1904) 64 GB ",https://alser.kz//p/smartfon-vivo-y12-burgundy-red1904815275,74990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.249604
275," Смартфон Samsung Galaxy A30s, 32 GB, white ",https://alser.kz//p/smartfon-samsung-galaxy-a30s-sm-a307fzwuskz-white,72190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.280348
276," Смартфон Samsung Galaxy A30s, 32 GB, green ",https://alser.kz//p/smartfon-samsung-galaxy-a30s-sm-a307fzguskz-green,73390,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.310139
277," Смартфон Samsung Galaxy A30s, 32 GB,  black ",https://alser.kz//p/smartfon-samsung-galaxy-a30s-sm-a307fzkuskz-black,72190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.340458
278," Смартфон Samsung Galaxy A10s, 32 GB, blue ",https://alser.kz//p/smartfon-samsung-galaxy-a10s-sm-a107fzbdskz-blue,58790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.370081
279," Смартфон Samsung Galaxy A10s, 32 GB, black ",https://alser.kz//p/smartfon-samsung-galaxy-a10s-sm-a107fzkdskz-black,58790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.401672
280," Смартфон Samsung Galaxy A10s, 32 GB, red ",https://alser.kz//p/smartfon-samsung-galaxy-a10s-sm-a107fzrdskz-red,58790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.431648
281," Смартфон Huawei Y5 2019 32GB, Sapphire Blue ",https://alser.kz//p/smartfon-huawei-y5-2019-2019-32-gb-sapphire-blue,43990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.462707
282, Смартфон BQ 5209L Strike LTE 8 ГБ черный ,https://alser.kz//p/smartfon-bq-5209l-strike-lte-cernyj,35190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:54.492413
283, Смартфон BQ-4526 Fox 8 ГБ черный ,https://alser.kz//p/smartfon-bq-4526-fox-cernyj,21490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.690837
284," Смартфон Huawei Y5 2019 32GB, коричневый ",https://alser.kz//p/smartfon-huawei-y5-2019-32-gb-koricnevyj,43990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.749058
285," Смартфон Huawei Y5 2019 32GB, черный ",https://alser.kz//p/smartfon-huawei-y5-2019-32-gb-cernyj,43990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.786887
286," Смартфон BQ-5514L Strike Power 4G,8 GB, Черный ",https://alser.kz//p/smartfon-bq-5514l-strike-power-4g-cernyj,41490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.817899
287," Смартфон BQ-5211 Strike,8 GB, Черный ",https://alser.kz//p/smartfon-bq-5211strike-cernyj,30190,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.850036
288, Смартфон BQ 5007L Iron Black (черный) 16 GB ,https://alser.kz//p/smartfon-bq-5007l-iron-black-cernyj,43590,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.880937
289," Смартфон OPPO A5s,32 GB, Blue ",https://alser.kz//p/smartfon-oppo-a5s-blue,59290,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.912302
290," Смартфон BQ 5507L Iron Max Moka,16 GB ",https://alser.kz//p/smartfon-bq-5507l-iron-max-moka,46890,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.944039
291," Смартфон BQ 5507L Iron Max Black,16 GB ",https://alser.kz//p/smartfon-bq-5507l-iron-max-black,46890,1,,Все смартфоны,,,Alser,2020-04-20 06:59:56.977511
292," Смартфон BQ-4001G Cool Чёрный,8 GB ",https://alser.kz//p/smartfon-bq-4001g-cool-cernyj,16690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.008624
293," Смартфон BQ-4072 Strike Mini Золотой Шлифованный,8 GB ",https://alser.kz//p/smartfon-bq-4072-strike-mini-zolotoj-slifovannyj,20490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.040699
294," Смартфон BQ-4072 Strike Mini Серебряный Шлифованный,8 GB ",https://alser.kz//p/smartfon-bq-4072-strike-mini-serebranyj-slifovannyj,20490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.071119
295," Смартфон BQ-4072 Strike Mini Красный Шлифованный,8 GB ",https://alser.kz//p/smartfon-bq-4072-strike-mini-krasnyj-slifovannyj,20490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.100919
296," Смартфон BQ-4072 Strike Mini Темно Синий Шлифованный, 8 GB ",https://alser.kz//p/smartfon-bq-4072-strike-mini-temno-sinij-slifovannyj,20490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.131980
297," Смартфон BQ-4072 Strike Mini Темно-Серый Шлифованный, 8 GB ",https://alser.kz//p/smartfon-bq-4072-strike-mini-temno-seryj-slifovannyj,20490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.161923
298," Смартфон Vivo V17 Neo,128 GB,Diamond Black ",https://alser.kz//p/smartfon-vivo-v17-neodiamond-black,99990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:57.191841
299," Смартфон Vivo V17 Neo,128 GB, Skyline Blue ",https://alser.kz//p/smartfon-vivo-v17-neo-skyline-blue,99990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.290673
300," Смартфон BQ-4028 UP! Черный,8 GB ",https://alser.kz//p/smartfon-bq-4028-up-cernyj,15490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.322707
301," Смартфон Samsung Galaxy Note 10 plus,256 GB, Silver ",https://alser.kz//p/smartfon-samsung-galaxy-note-10-plus-silver,399790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.353629
302," Смартфон Samsung Galaxy Note 10 red,256 GB ",https://alser.kz//p/smartfon-samsung-galaxy-note-10-red,349690,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.383522
303," Смартфон Xiaomi Redmi 7A, 16GB, Black ",https://alser.kz//p/smartfon-xiaomi-redmi-7a-16gb-black,37990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.415432
304," Смартфон Xiaomi Redmi 7A, 16GB, Blue ",https://alser.kz//p/smartfon-xiaomi-redmi-7a-16gb-blue,35790,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.447041
305," Смартфон Xiaomi Redmi 7A, 32GB, Blue ",https://alser.kz//p/smartfon-xiaomi-redmi-7a-32gb-blue,36990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.477873
306," Смартфон Xiaomi Redmi 7A, 32GB, Black ",https://alser.kz//p/smartfon-xiaomi-redmi-7a-32gb-black,36990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.507765
307," Смартфон Huawei P Smart Z 64GB, Emerald Green ",https://alser.kz//p/smartfon-huawei-p-smart-z-emerald-green,79000,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.540694
308," Смартфон Huawei P Smart Z 64GB, Midnight Black ",https://alser.kz//p/smartfon-huawei-p-smart-z-midnight-black,79000,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.611337
309," Смартфон Huawei P Smart Z 64GB, Sapphire Blue ",https://alser.kz//p/smartfon-huawei-p-smart-z-sapphire-blue,79000,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.648466
310," Смартфон OPPO Reno Z Jet Black, 128 GB ",https://alser.kz//p/smartfon-oppo-reno-z-jet-black,129370,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.679695
311," Смартфон OPPO Reno Z Aurora Purple,128 GB ",https://alser.kz//p/smartfon-oppo-reno-z-aurora-purple,129490,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.709535
312," Смартфон OPPO AX7 (4Gb), Glaze Blue,64 GB ",https://alser.kz//p/smartfon-oppo-ax7-4gb-glaze-blue,89990,1,,Все смартфоны,,,Alser,2020-04-20 06:59:59.740215
